Montana, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,66.1,2.0
199108,68.6,4.5
199208,61.4,-2.7
199308,59.7,-4.4
199408,66.6,2.5
199508,64.4,0.3
199608,66.5,2.4
199708,64.8,0.7
199808,68.1,4.0
199908,66.4,2.3
200008,66.8,2.7
200108,68.9,4.8
200208,61.3,-2.8
200308,70.0,5.9
200408,62.4,-1.7
200508,63.9,-0.2
200608,65.5,1.4
200708,65.8,1.7
200808,65.6,1.5
200908,63.4,-0.7
201008,63.8,-0.3
201108,66.8,2.7
201208,66.7,2.6
201308,67.3,3.2
