Indiana, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,44.4,4.9
199103,43.2,3.7
199203,41.1,1.6
199303,37.0,-2.5
199403,39.6,0.1
199503,43.4,3.9
199603,34.2,-5.3
199703,42.3,2.8
199803,41.3,1.8
199903,36.7,-2.8
200003,45.4,5.9
200103,37.2,-2.3
200203,38.3,-1.2
200303,42.1,2.6
200403,44.3,4.8
200503,37.3,-2.2
200603,40.7,1.2
200703,47.0,7.5
200803,38.6,-0.9
200903,44.2,4.7
201003,43.6,4.1
201103,41.7,2.2
201203,55.0,15.5
201303,34.8,-4.7
