Tennessee, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,48.0,7.9
199102,42.7,2.6
199202,45.1,5.0
199302,38.3,-1.8
199402,41.8,1.7
199502,39.0,-1.1
199602,39.0,-1.1
199702,45.0,4.9
199802,44.4,4.3
199902,44.7,4.6
200002,45.4,5.3
200102,44.6,4.5
200202,40.5,0.4
200302,38.5,-1.6
200402,39.4,-0.7
200502,44.4,4.3
200602,38.5,-1.6
200702,35.9,-4.2
200802,42.2,2.1
200902,42.3,2.2
201002,33.7,-6.4
201102,43.1,3.0
201202,44.5,4.4
201302,40.8,0.7
