North Dakota, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,42.1,0.9
199104,45.4,4.2
199204,40.1,-1.1
199304,41.3,0.1
199404,41.8,0.6
199504,36.6,-4.6
199604,36.3,-4.9
199704,36.5,-4.7
199804,46.9,5.7
199904,42.6,1.4
200004,41.6,0.4
200104,42.6,1.4
200204,38.2,-3.0
200304,44.9,3.7
200404,43.4,2.2
200504,46.8,5.6
200604,48.5,7.3
200704,40.7,-0.5
200804,40.0,-1.2
200904,39.2,-2.0
201004,47.2,6.0
201104,39.1,-2.1
201204,45.8,4.6
201304,31.3,-9.9
