Alabama, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,49.8,4.7
199101,45.8,0.7
199201,44.1,-1.0
199301,48.8,3.7
199401,40.8,-4.3
199501,45.4,0.3
199601,43.5,-1.6
199701,45.9,0.8
199801,47.8,2.7
199901,49.4,4.3
200001,46.5,1.4
200101,41.2,-3.9
200201,46.8,1.7
200301,40.0,-5.1
200401,44.2,-0.9
200501,49.2,4.1
200601,51.1,6.0
200701,46.7,1.6
200801,43.0,-2.1
200901,45.3,0.2
201001,40.0,-5.1
201101,41.1,-4.0
201201,50.1,5.0
201301,50.0,4.9
