Ohio, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,35.9,5.5
199112,34.4,4.0
199212,33.0,2.6
199312,30.9,0.5
199412,36.5,6.1
199512,26.4,-4.0
199612,35.4,5.0
199712,33.6,3.2
199812,36.9,6.5
199912,33.0,2.6
200012,21.6,-8.8
200112,37.7,7.3
200212,30.8,0.4
200312,32.8,2.4
200412,31.5,1.1
200512,27.2,-3.2
200612,38.3,7.9
200712,33.1,2.7
200812,31.0,0.6
200912,30.6,0.2
201012,24.8,-5.6
201112,36.9,6.5
201212,37.7,7.3
201312,32.0,1.6
