North Dakota, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,17.7,5.8
199102,25.1,13.2
199202,24.4,12.5
199302,9.6,-2.3
199402,3.0,-8.9
199502,16.5,4.6
199602,14.6,2.7
199702,16.7,4.8
199802,27.8,15.9
199902,22.9,11.0
200002,22.1,10.2
200102,5.5,-6.4
200202,24.1,12.2
200302,8.8,-3.1
200402,15.5,3.6
200502,20.3,8.4
200602,15.0,3.1
200702,7.7,-4.2
200802,10.3,-1.6
200902,11.4,-0.5
201002,9.3,-2.6
201102,10.0,-1.9
201202,21.0,9.1
201302,16.8,4.9
