Minnesota, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,30.5,5.2
199103,29.2,3.9
199203,29.6,4.3
199303,25.5,0.2
199403,30.2,4.9
199503,29.0,3.7
199603,19.3,-6.0
199703,24.0,-1.3
199803,27.5,2.2
199903,30.4,5.1
200003,36.4,11.1
200103,24.2,-1.1
200203,19.5,-5.8
200303,25.8,0.5
200403,30.9,5.6
200503,26.2,0.9
200603,29.4,4.1
200703,31.7,6.4
200803,23.5,-1.8
200903,26.0,0.7
201003,35.8,10.5
201103,23.6,-1.7
201203,41.8,16.5
201303,20.6,-4.7
