Idaho, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,47.3,-2.0
199105,46.5,-2.8
199205,55.3,6.0
199305,53.8,4.5
199405,52.7,3.4
199505,48.3,-1.0
199605,46.5,-2.8
199705,52.3,3.0
199805,49.0,-0.3
199905,46.6,-2.7
200005,50.3,1.0
200105,52.6,3.3
200205,48.7,-0.6
200305,49.9,0.6
200405,48.9,-0.4
200505,49.9,0.6
200605,51.8,2.5
200705,52.0,2.7
200805,48.9,-0.4
200905,50.8,1.5
201005,44.1,-5.2
201105,45.8,-3.5
201205,49.0,-0.3
201305,51.0,1.7
