Oklahoma, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,66.4,-1.6
199105,71.2,3.2
199205,65.8,-2.2
199305,66.1,-1.9
199405,66.7,-1.3
199505,64.6,-3.4
199605,73.0,5.0
199705,65.6,-2.4
199805,72.0,4.0
199905,67.2,-0.8
200005,70.5,2.5
200105,69.0,1.0
200205,66.5,-1.5
200305,68.7,0.7
200405,70.8,2.8
200505,67.5,-0.5
200605,70.6,2.6
200705,68.9,0.9
200805,68.5,0.5
200905,66.0,-2.0
201005,68.2,0.2
201105,67.7,-0.3
201205,72.6,4.6
201305,67.0,-1.0
