Delaware, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,42.3,8.0
199102,40.4,6.1
199202,37.6,3.3
199302,31.9,-2.4
199402,33.5,-0.8
199502,32.6,-1.7
199602,34.8,0.5
199702,40.8,6.5
199802,41.3,7.0
199902,38.3,4.0
200002,39.2,4.9
200102,38.6,4.3
200202,40.9,6.6
200302,32.1,-2.2
200402,36.1,1.8
200502,36.7,2.4
200602,37.1,2.8
200702,29.6,-4.7
200802,39.1,4.8
200902,38.5,4.2
201002,31.4,-2.9
201102,38.8,4.5
201202,41.1,6.8
201302,35.9,1.6
