Pennsylvania, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,55.2,-2.4
199105,64.4,6.8
199205,55.8,-1.8
199305,58.7,1.1
199405,53.9,-3.7
199505,56.4,-1.2
199605,55.6,-2.0
199705,52.7,-4.9
199805,62.4,4.8
199905,59.3,1.7
200005,60.0,2.4
200105,58.6,1.0
200205,55.0,-2.6
200305,56.1,-1.5
200405,63.4,5.8
200505,53.6,-4.0
200605,57.3,-0.3
200705,60.1,2.5
200805,54.0,-3.6
200905,58.3,0.7
201005,60.5,2.9
201105,61.0,3.4
201205,63.7,6.1
201305,58.9,1.3
