Kansas, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,60.4,-3.0
199105,67.0,3.6
199205,62.7,-0.7
199305,62.3,-1.1
199405,64.7,1.3
199505,57.3,-6.1
199605,65.2,1.8
199705,60.7,-2.7
199805,67.9,4.5
199905,63.1,-0.3
200005,66.5,3.1
200105,65.1,1.7
200205,62.1,-1.3
200305,62.9,-0.5
200405,66.9,3.5
200505,64.1,0.7
200605,65.8,2.4
200705,65.9,2.5
200805,63.0,-0.4
200905,63.0,-0.4
201005,62.1,-1.3
201105,62.6,-0.8
201205,69.0,5.6
201305,63.3,-0.1
