Kansas, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,36.1,2.5
199102,41.8,8.2
199202,41.7,8.1
199302,28.1,-5.5
199402,29.9,-3.7
199502,39.2,5.6
199602,36.2,2.6
199702,34.8,1.2
199802,39.6,6.0
199902,42.8,9.2
200002,41.0,7.4
200102,30.4,-3.2
200202,35.9,2.3
200302,31.3,-2.3
200402,31.8,-1.8
200502,39.2,5.6
200602,34.5,0.9
200702,30.0,-3.6
200802,32.3,-1.3
200902,39.7,6.1
201002,29.9,-3.7
201102,30.2,-3.4
201202,37.1,3.5
201302,33.6,0.0
