North Dakota, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,21.8,15.4
199101,6.7,0.3
199201,20.3,13.9
199301,5.9,-0.5
199401,-1.9,-8.3
199501,9.7,3.3
199601,0.3,-6.1
199701,1.6,-4.8
199801,10.4,4.0
199901,6.9,0.5
200001,12.4,6.0
200101,17.0,10.6
200201,16.9,10.5
200301,10.7,4.3
200401,3.8,-2.6
200501,6.4,0.0
200601,25.9,19.5
200701,13.7,7.3
200801,9.6,3.2
200901,5.0,-1.4
201001,9.7,3.3
201101,6.4,0.0
201201,20.0,13.6
201301,11.4,5.0
