Wyoming, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,46.6,-1.8
199105,48.5,0.1
199205,52.7,4.3
199305,50.8,2.4
199405,53.9,5.5
199505,44.4,-4.0
199605,47.1,-1.3
199705,49.5,1.1
199805,50.4,2.0
199905,46.7,-1.7
200005,51.3,2.9
200105,51.3,2.9
200205,47.7,-0.7
200305,49.8,1.4
200405,49.4,1.0
200505,47.9,-0.5
200605,51.2,2.8
200705,51.1,2.7
200805,46.8,-1.6
200905,50.0,1.6
201005,44.0,-4.4
201105,44.2,-4.2
201205,50.0,1.6
201305,50.4,2.0
