Minnesota, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,59.8,3.0
199109,55.8,-1.0
199209,55.6,-1.2
199309,51.6,-5.2
199409,59.9,3.1
199509,56.0,-0.8
199609,57.6,0.8
199709,59.9,3.1
199809,62.4,5.6
199909,56.4,-0.4
200009,56.6,-0.2
200109,57.4,0.6
200209,60.5,3.7
200309,57.9,1.1
200409,62.1,5.3
200509,61.6,4.8
200609,56.3,-0.5
200709,59.2,2.4
200809,58.7,1.9
200909,62.6,5.8
201009,55.0,-1.8
201109,57.5,0.7
201209,57.3,0.5
201309,61.5,4.7
