South Dakota, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,15.1,-4.6
199112,27.3,7.6
199212,17.2,-2.5
199312,23.6,3.9
199412,23.4,3.7
199512,21.9,2.2
199612,11.5,-8.2
199712,28.0,8.3
199812,25.6,5.9
199912,29.1,9.4
200012,10.5,-9.2
200112,24.7,5.0
200212,27.3,7.6
200312,26.6,6.9
200412,27.2,7.5
200512,20.1,0.4
200612,27.0,7.3
200712,19.4,-0.3
200812,14.1,-5.6
200912,13.5,-6.2
201012,17.7,-2.0
201112,26.8,7.1
201212,21.4,1.7
201312,13.5,-6.2
