Arkansas, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,66.1,-2.6
199105,72.3,3.6
199205,66.8,-1.9
199305,67.0,-1.7
199405,66.2,-2.5
199505,68.3,-0.4
199605,72.3,3.6
199705,65.9,-2.8
199805,72.7,4.0
199905,68.2,-0.5
200005,70.8,2.1
200105,70.0,1.3
200205,67.0,-1.7
200305,69.6,0.9
200405,70.7,2.0
200505,67.4,-1.3
200605,69.9,1.2
200705,71.0,2.3
200805,68.1,-0.6
200905,67.5,-1.2
201005,71.3,2.6
201105,67.3,-1.4
201205,73.2,4.5
201305,67.2,-1.5
