Texas, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,76.4,0.5
199109,72.4,-3.5
199209,76.0,0.1
199309,75.0,-0.9
199409,74.4,-1.5
199509,75.4,-0.5
199609,73.9,-2.0
199709,78.0,2.1
199809,79.5,3.6
199909,75.8,-0.1
200009,78.1,2.2
200109,74.9,-1.0
200209,76.0,0.1
200309,73.9,-2.0
200409,75.2,-0.7
200509,79.9,4.0
200609,74.1,-1.8
200709,77.1,1.2
200809,73.3,-2.6
200909,74.1,-1.8
201009,77.7,1.8
201109,77.9,2.0
201209,76.6,0.7
201309,78.2,2.3
