,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Latitude,32.806671,33.729759,34.969704,36.116203000000006,39.059810999999996,41.597782,39.318523,27.766278999999997,33.040619,44.240459,40.349457,39.849426,42.011539,38.5266,37.66814,31.169546,44.693946999999994,39.063946,42.230171,43.326617999999996,45.694454,32.741646,38.456084999999995,46.921925,41.125370000000004,38.313515,43.452492,40.298904,34.840515,42.165726,35.630066,47.528912,40.388783000000004,35.565342,44.572021,40.590752,41.680893,33.856891999999995,44.299782,35.747845,31.054486999999998,40.150032,44.045876,37.769337,47.400902,38.491226,44.268543,42.755966
Longitude,-86.79113000000001,-111.431221,-92.37312299999999,-119.681564,-105.311104,-72.755371,-75.507141,-81.68678299999999,-83.643074,-114.47882800000001,-88.986137,-86.258278,-93.210526,-96.726486,-84.670067,-91.867805,-69.381927,-76.80210100000001,-71.530106,-84.53609499999999,-93.900192,-89.678696,-92.288368,-110.454353,-98.26808199999999,-117.055374,-71.563896,-74.521011,-106.24848200000001,-74.948051,-79.80641899999999,-99.784012,-82.764915,-96.928917,-122.07093799999998,-77.209755,-71.51178,-80.94500699999999,-99.438828,-86.69234499999999,-97.563461,-111.86243400000001,-72.710686,-78.16996800000001,-121.490494,-80.954453,-89.616508,-107.30248999999999
